scenario_name	test_type	sensitivity	specificity	target_group	nns_needed	nnr_corresponding	true_beta	mean_beta_hat	bias	mse	rmse	sd_beta_hat	wrong_direction	significant_wrong
ARREST	Perfect (100%)	1	1	E	14593	2595.64	-1.203972804325936	-1.2172590147056823	-0.01328621037974631	0.2708309700268843	0.5204142292701884	0.5208961303245563	0	0
Conservative	Low Sens/High Spec	0.7	0.95	B	322000	44142.7825	0.6931471805599453	0.1373070280279171	-0.5558401525320281	0.31138216576794514	0.5580162773324315	0.04929468039154001	0.005	0
Conservative	Balanced/Moderate	0.8	0.8	B	NA	NA	0.6931471805599453	NA	NA	NA	NA	NA	NA	NA
Conservative	High Sens/Low Spec	0.95	0.7	B	NA	NA	0.6931471805599453	NA	NA	NA	NA	NA	NA	NA
Conservative	High Sens/High Spec	0.95	0.95	B	179000	30535.2825	0.6931471805599453	0.18236758102265477	-0.5107795995372905	0.2657004208442406	0.5154613669754898	0.06940218439474856	0.005	0
Conservative	Near-Perfect	0.99	0.99	B	56250	7950.0425	0.6931471805599453	0.4761805172680601	-0.21696666329188516	0.07900478541183019	0.28107789918780557	0.1789141641322278	0.005	0
Conservative	Perfect (100%)	1	1	B	32000	4291.575	0.6931471805599453	0.7021119449568413	0.00896476439689595	0.0703927776631001	0.26531637277616343	0.2654969533591973	0.005	0
Conservative	Low Sens/High Spec	0.7	0.95	C	20062	5636.19	-0.35667494393873245	-0.298869657097565	0.0578052868411674	0.01462188038557703	0.12092096751836312	0.10634237608387968	0	0
Conservative	Balanced/Moderate	0.8	0.8	C	30687	12680.6625	-0.35667494393873245	-0.19153683420299697	0.16513810973573548	0.03213586992782238	0.1792648039293335	0.06983887392784438	0.005	0
Conservative	High Sens/Low Spec	0.95	0.7	C	31000	16464.88	-0.35667494393873245	-0.16162395492361242	0.19505098901512	0.0415674210690193	0.20388089922555103	0.05942525688739734	0	0
Conservative	High Sens/High Spec	0.95	0.95	C	13718	5074.925	-0.35667494393873245	-0.3137689831875966	0.04290596075113586	0.01283491896865045	0.11329130138122016	0.10498357671140876	0	0
Conservative	Near-Perfect	0.99	0.99	C	11781	4222.615	-0.35667494393873245	-0.3480337950679562	0.00864114887077627	0.01521036353288496	0.12333030257355636	0.1231812816520906	0.0025	0
Conservative	Perfect (100%)	1	1	C	10875	3866.4125	-0.35667494393873245	-0.3676591913245556	-0.01098424738582317	0.015580554661387599	0.12482209204058234	0.12449356445105492	0	0
Conservative	Low Sens/High Spec	0.7	0.95	D	81250	13449.515	0.1823215567939546	0.14171246626667583	-0.04060909052727878	0.00407605298299917	0.06384397374066858	0.04932582835496749	0	0
Conservative	Balanced/Moderate	0.8	0.8	D	183500	56274.935	0.1823215567939546	0.07603404149185827	-0.10628751530209632	0.01198074419901066	0.1094565859097143	0.0261805623417189	0	0
Conservative	High Sens/Low Spec	0.95	0.7	D	224000	93090.855	0.1823215567939546	0.05786693337708411	-0.12445462341687048	0.01592446036315922	0.1261921565041157	0.02089494124778882	0.0025	0
Conservative	High Sens/High Spec	0.95	0.95	D	57125	11998.095	0.1823215567939546	0.14947573572273606	-0.03284582107121852	0.00330349392904377	0.05747602916906989	0.04722522123827246	0	0
Conservative	Near-Perfect	0.99	0.99	D	40500	7464.46	0.1823215567939546	0.17706970472710998	-0.0052518520668446	0.00437639853072013	0.06615435383041793	0.06602814453143273	0.0025	0
Conservative	Perfect (100%)	1	1	D	40375	7179.83	0.1823215567939546	0.18486179392482188	0.00254023713086729	0.00405831492409273	0.06370490502381061	0.0637339561169514	0.0025	0
Conservative	Low Sens/High Spec	0.7	0.95	E	818000	135471.0825	-0.2231435513142097	-0.09084862679118984	0.13229492452301989	0.0184806693284164	0.1359436255527136	0.0313237164444869	0.005	0
Conservative	Balanced/Moderate	0.8	0.8	E	770000	236159.6025	-0.2231435513142097	-0.05369046071001318	0.16945309060419653	0.02900447021677961	0.17030698816190606	0.01705424932430657	0.0025	0
Conservative	High Sens/Low Spec	0.95	0.7	E	602000	250168.9275	-0.2231435513142097	-0.04803685670269016	0.17510669461151954	0.03096617777955376	0.1759720937522588	0.01745235639221528	0	0
Conservative	High Sens/High Spec	0.95	0.95	E	514000	107962.5125	-0.2231435513142097	-0.10523347275340314	0.11791007856080656	0.01513433305758353	0.12302167718570386	0.0351373450036099	0	0
Conservative	Near-Perfect	0.99	0.99	E	322000	59332.195	-0.2231435513142097	-0.18121400518802355	0.04192954612618615	0.00584363508132908	0.07644367260492584	0.06399834148055535	0	0
Conservative	Perfect (100%)	1	1	E	273000	48545.435	-0.2231435513142097	-0.22651770290412587	-0.00337415158991616	0.00577391379237712	0.07598627371030328	0.07600639000590488	0.0025	0
