scenario_name	n_total	group	power	scenario_set
ARREST_shrunk	4200	A	0.010000000000000009	supp
ARREST_shrunk	4200	B	0.9990967193333561	supp
ARREST_shrunk	4200	C	0.046240216883967955	supp
ARREST_shrunk	4200	D	0.04351427044451084	supp
ARREST_shrunk	4200	E	0.08219255766526601	supp
ARREST_shrunk	4300	A	0.010000000000000009	supp
ARREST_shrunk	4300	B	0.999283028133584	supp
ARREST_shrunk	4300	C	0.04725563178560177	supp
ARREST_shrunk	4300	D	0.04444691812448087	supp
ARREST_shrunk	4300	E	0.08433460776143586	supp
ARREST_shrunk	4400	A	0.010000000000000009	supp
ARREST_shrunk	4400	B	0.9994317650776444	supp
ARREST_shrunk	4400	C	0.048277612825002314	supp
ARREST_shrunk	4400	D	0.045385400230927964	supp
ARREST_shrunk	4400	E	0.0864932521086842	supp
ARREST_shrunk	4500	A	0.010000000000000009	supp
ARREST_shrunk	4500	B	0.9995503042272801	supp
ARREST_shrunk	4500	C	0.04930612265111545	supp
ARREST_shrunk	4500	D	0.04632968641203972	supp
ARREST_shrunk	4500	E	0.08866827552019352	supp
ARREST_shrunk	4600	A	0.010000000000000009	supp
ARREST_shrunk	4600	B	0.9996446203356179	supp
ARREST_shrunk	4600	C	0.05034112382782596	supp
ARREST_shrunk	4600	D	0.04727974624482989	supp
ARREST_shrunk	4600	E	0.0908594627675956	supp
ARREST_shrunk	4700	A	0.010000000000000009	supp
ARREST_shrunk	4700	B	0.9997195430417809	supp
ARREST_shrunk	4700	C	0.05138257883670483	supp
ARREST_shrunk	4700	D	0.04823554923715301	supp
ARREST_shrunk	4700	E	0.09306659861594024	supp
ARREST_shrunk	4800	A	0.010000000000000009	supp
ARREST_shrunk	4800	B	0.9997789675795344	supp
ARREST_shrunk	4800	C	0.05243045007973357	supp
ARREST_shrunk	4800	D	0.049197064829701986	supp
ARREST_shrunk	4800	E	0.0952894678580567	supp
ARREST_shrunk	4900	A	0.010000000000000009	supp
ARREST_shrunk	4900	B	0.9998260287940806	supp
ARREST_shrunk	4900	C	0.05348469988200577	supp
ARREST_shrunk	4900	D	0.05016426239799099	supp
ARREST_shrunk	4900	E	0.09752785534831454	supp
ARREST_shrunk	5000	A	0.010000000000000009	supp
ARREST_shrunk	5000	B	0.9998632443582283	supp
ARREST_shrunk	5000	C	0.054545290494406595	supp
ARREST_shrunk	5000	D	0.05113711125432341	supp
ARREST_shrunk	5000	E	0.09978154603579081	supp
ARREST_shrunk	5100	A	0.010000000000000009	supp
ARREST_shrunk	5100	B	0.9998926322550843	supp
ARREST_shrunk	5100	C	0.055612184096268225	supp
ARREST_shrunk	5100	D	0.05211558064974353	supp
ARREST_shrunk	5100	E	0.10205032499684519	supp
ARREST_shrunk	5200	A	0.010000000000000009	supp
ARREST_shrunk	5200	B	0.9999158068544228	supp
ARREST_shrunk	5200	C	0.056685342798004856	supp
ARREST_shrunk	5200	D	0.05309963977597376	supp
ARREST_shrunk	5200	E	0.10433397746711148	supp
ARREST_shrunk	5300	A	0.010000000000000009	supp
ARREST_shrunk	5300	B	0.9999340572542776	supp
ARREST_shrunk	5300	C	0.05776472864372284	supp
ARREST_shrunk	5300	D	0.05408925776733664	supp
ARREST_shrunk	5300	E	0.10663228887290854	supp
ARREST_shrunk	5400	A	0.010000000000000009	supp
