score_version	power_hard	power_soft	mean_ess_hard	mean_ess_soft	bias_hard	bias_soft	mse_hard	mse_soft	sens_emp	spec_emp
continuous	0	0	4549	4851.91357283821	0.11494655046733046	0.1650715279315159	0.01827542696510435	0.03395364491471944	0.9498541907104443	0.912468017879754
binary	1	1	11112.5	11112.5	0.5252315329293745	0.48000949176954766	0.2798303943631397	0.23041302327019514	0.9957393700350454	0.05004727366456929
tertile	1	0	11115	7666.333333333333	0.48755410721404424	0.3632569498878101	0.2387889732872215	0.1321590613103703	0.9963515359118353	0.05005065431756784
quartile	1	1	11113.5	7187.5	0.47520750426880026	0.4192842753632523	0.22582286333711082	0.17579953194165138	0.9959863039057643	0.05005403588351616
decile	1	0	11115	6325	0.5386456578068051	0.3131076200434809	0.290491595259473	0.10051917028212584	0.9963497045350307	0.050050646972159024
continuous	1	0	11110	5433.400438646455	0.4390881219644439	0.3551039313757234	0.19425253407745408	0.12741108275868498	0.9952541813040972	0.050111628090764505
binary	1	1	11129.5	11129.5	0.5040916647446592	0.4604241397734211	0.25540486453074196	0.2120577551079858	1	0.05010823183677758
tertile	1	0	11129.5	7666.333333333333	0.5034724126350326	0.2807848096708913	0.25715692215574193	0.07936101709596666	1	0.050111628090764505
quartile	0.5	0	11130	7187.5	0.4041969286424283	0.2895782880498708	0.16496092978056548	0.0838763017466409	1	0.050043884753212156
decile	0.5	0	11130	6325	0.3688127745049059	0.26945861450139985	0.13738358970474127	0.07319706939422063	1	0.05005065431756784
continuous	1	0	11130	4852.205079838895	0.4364785184088632	0.14270126472715355	0.19321989510444587	0.020903752211815285	1	0.050043893924150845
binary	1	0.5	2988	2988	0.03717868037011107	-0.08411358532801665	0.011438468796502057	0.024480087233960248	0.9491657971994412	0.2970553028067022
tertile	0.5	0.5	3154.5	2666.333333333333	-0.12933497271169567	-0.03146199767542532	0.024206246707470826	0.0029638466461657602	0.9491657971994412	0.2466633731584153
quartile	0.5	1	3108.5	2500	-0.05393445275318523	0.05904671838828213	0.014710390435085091	0.003492667158450094	0.9491657971994412	0.26048645197337994
decile	0	0.5	2991.5	2200	-0.1224057657740514	-0.03175962558712683	0.01522220998520786	0.01550412545695404	0.9491628839696555	0.2960937082196909
continuous	1	0	3061.5	1728.6824966913514	-0.039559107825245896	-0.1301204569361596	0.004035548540364706	0.01743111048415504	0.9490947845875678	0.2748481801662168
binary	1	0.5	972.5	972.5	0.13830797057371333	-0.03071094770807778	0.019141468124926495	0.0019409207569722896	0.9490577597745959	0.910893249683549
tertile	0.5	1	953	2666.333333333333	-0.041718715665073486	0.06505705893234878	0.021563279651481443	0.005938652200771932	0.9490887263996508	0.9169532921943583
quartile	0.5	1	910	2500	-0.06006449353849633	0.07467646203013781	0.06696445837276727	0.0057143781778280014	0.9490174811166808	0.9297115228129134
