scenario_name	accuracy	group	power	bias	mse	wrong_dir
Conservative	0.5	C	0.14	0.16205016134301833	0.04317999004363837	6.2
Conservative	0.5	D	0.028	-0.07711473344728471	0.02700191182614588	22.400000000000002
Conservative	0.5	E	0.01	0.1608672792317676	0.07915878702754654	39.4
Conservative	0.5	Overall	0.08	-0.002099358536461949	0.005371101905360607	27.6
Conservative	0.55	A	0.01	-0.020128469358666235	0.028083287494707877	0
Conservative	0.55	B	0.01	-0.5928635260982994	0.4264844767325835	37.6
Conservative	0.55	C	0.146	0.14497416910462654	0.0374725724484082	4.6
Conservative	0.55	D	0.042	-0.07218249799992917	0.02601295419883596	22
Conservative	0.55	E	0.008	0.14473874087140423	0.0736654107699852	36.4
Conservative	0.55	Overall	0.08	-0.002099358536461949	0.005371101905360607	27.6
Conservative	0.6	A	0.008	-0.020163650013250847	0.027289597270938434	0
