test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
Near-Perfect	1.3	1.4	15452	5541	0.012089973443241586
Near-Perfect	1.3	1.5	14491	5196	0.011412638374293821
Near-Perfect	1.3	1.6	13661	4899	0.010827256896222437
Near-Perfect	1.3	1.7000000000000002	12939	4640	0.010318146646674076
Near-Perfect	1.3	1.8	12305	4412	0.009873075186985797
Near-Perfect	1.3	1.9	11745	4211	0.009482365162373912
Near-Perfect	1.3	2	11247	4033	0.009138264555394598
Near-Perfect	1.4	1	20067	7195	0.016079509619979587
Near-Perfect	1.4	1.1	18248	6543	0.014770388369468063
Near-Perfect	1.4	1.2	16763	6011	0.01368592879774766
Near-Perfect	1.4	1.3	15530	5569	0.012775685846826784
Near-Perfect	1.4	1.4	14490	5196	0.012003386441578168
Near-Perfect	1.4	1.5	13603	4878	0.011342286242330829
Near-Perfect	1.4	1.6	12838	4604	0.010772240190979027
Near-Perfect	1.4	1.7000000000000002	12173	4365	0.010277791678065001
Near-Perfect	1.4	1.8	11589	4156	0.009846889781491286
Near-Perfect	1.4	1.9	11074	3971	0.009470006277903842
Near-Perfect	1.4	2	10617	3807	0.009139514290561201
Near-Perfect	1.5	1	18839	6755	0.01591492534731284
Near-Perfect	1.5	1.1	17149	6149	0.014629413986158052
Near-Perfect	1.5	1.2	15770	5655	0.013565907069418182
Near-Perfect	1.5	1.3	14625	5244	0.012674635663707273
Near-Perfect	1.5	1.4	13661	4898	0.011919819910188645
Near-Perfect	1.5	1.5	12838	4604	0.011275085897307247
Near-Perfect	1.5	1.6	12130	4350	0.010720574293130586
Near-Perfect	1.5	1.7000000000000002	11514	4129	0.010241054467043431
Near-Perfect	1.5	1.8	10975	3935	0.009824658570377343
Near-Perfect	1.5	1.9	10500	3765	0.009462010220126826
Near-Perfect	1.5	2	10079	3614	0.009145611435697337
Near-Perfect	1.6	1	17767	6371	0.015753461134949492
Near-Perfect	1.6	1.1	16190	5805	0.014491397118020749
Near-Perfect	1.6	1.2	14904	5344	0.013448769456536724
Near-Perfect	1.6	1.3	13837	4962	0.012576476078270393
Near-Perfect	1.6	1.4	12939	4640	0.01183922495462647
Near-Perfect	1.6	1.5	12173	4365	0.011211009999354427
Near-Perfect	1.6	1.6	11515	4129	0.010672257113299444
Near-Perfect	1.6	1.7000000000000002	10943	3924	0.010207962841660645
Near-Perfect	1.6	1.8	10443	3745	0.00980644503889469
Near-Perfect	1.6	1.9	10004	3587	0.009458483074164803
Near-Perfect	1.6	2	9615	3448	0.00915671298091078
Near-Perfect	1.7000000000000002	1	16823	6032	0.015595006762064323
Near-Perfect	1.7000000000000002	1.1	15347	5503	0.014356242703757904
Near-Perfect	1.7000000000000002	1.2	14143	5071	0.013334436471461125
Near-Perfect	1.7000000000000002	1.3	13145	4714	0.012481144522721394
Near-Perfect	1.7000000000000002	1.4	12305	4413	0.011761558179430781
Near-Perfect	1.7000000000000002	1.5	11591	4156	0.011150037509915944
Near-Perfect	1.7000000000000002	1.6	10977	3936	0.010627294153046862
Near-Perfect	1.7000000000000002	1.7000000000000002	10445	3745	0.010178554127704575
Near-Perfect	1.7000000000000002	1.8	9980	3579	0.009792324858612311
Near-Perfect	1.7000000000000002	1.9	9573	3433	0.009459546788245982
Near-Perfect	1.7000000000000002	2	9213	3304	0.00917299670144825
Near-Perfect	1.8	1	15987	5732	0.015439457162236436
Near-Perfect	1.8	1.1	14600	5235	0.014223860502981661
Near-Perfect	1.8	1.2	13470	4830	0.013222833341692747
Near-Perfect	1.8	1.3	12533	4494	0.012388583306710693
Near-Perfect	1.8	1.4	11746	4212	0.011686781559917037
Near-Perfect	1.8	1.5	11077	3972	0.01109215367368721
Near-Perfect	1.8	1.6	10503	3766	0.010585698646132763
Near-Perfect	1.8	1.7000000000000002	10007	3588	0.010152875520854449
Near-Perfect	1.8	1.8	9574	3433	0.009782386592098263
Near-Perfect	1.8	1.9	9196	3298	0.009465340352685536
Near-Perfect	1.8	2	8863	3178	0.009194663006120596
Near-Perfect	1.9	1	15240	5465	0.015286712097413696
Near-Perfect	1.9	1.1	13934	4996	0.014094164810703497
Near-Perfect	1.9	1.2	12870	4615	0.013113889769962028
Near-Perfect	1.9	1.3	11989	4299	0.012298739435739586
Near-Perfect	1.9	1.4	11250	4034	0.011614862341878723
Near-Perfect	1.9	1.5	10622	3809	0.011037350036514404
Near-Perfect	1.9	1.6	10084	3616	0.010547491750637406
Near-Perfect	1.9	1.7000000000000002	9620	3450	0.010130984535182769
Near-Perfect	1.9	1.8	9217	3305	0.00977673251554112
Near-Perfect	1.9	1.9	8866	3179	0.009476021162575454
Near-Perfect	1.9	2	8558	3069	0.009221937071030056
Near-Perfect	2	1	14571	5225	0.015136675855736498
Near-Perfect	2	1.1	13337	4782	0.013967074193890094
Near-Perfect	2	1.2	12333	4422	0.013007539715832406
Near-Perfect	2	1.3	11503	4125	0.01221156445244398
Near-Perfect	2	1.4	10806	3875	0.011545772968543477
Near-Perfect	2	1.5	10216	3663	0.010985624499848246
Near-Perfect	2	1.6	9712	3483	0.010512702794743395
Near-Perfect	2	1.7000000000000002	9278	3327	0.010112949534667043
Near-Perfect	2	1.8	8902	3192	0.009775479572634332
Near-Perfect	2	1.9	8575	3075	0.0094917665887429
Near-Perfect	2	2	8290	2973	0.009255071301732115
High Sens/High Spec	1	1	50635	18741	0.07916742350319186
High Sens/High Spec	1	1.1	43422	16071	0.07312858862449415
High Sens/High Spec	1	1.2	38007	14067	0.06802463623391089
High Sens/High Spec	1	1.3	33808	12513	0.06366081532790466
