test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Near-Perfect	0.99	0.99	C	1	1	29314	10511	-0.23572233352106983	-0.20792081290895587	0.027801520612113967
Near-Perfect	0.99	0.99	C	1	1.1	26391	9463	-0.23572233352106983	-0.2102772381449634	0.025445095376106425
Near-Perfect	0.99	0.99	C	1	1.2	24027	8615	-0.23572233352106983	-0.21225654771696145	0.02346578580410838
Near-Perfect	0.99	0.99	C	1	1.3	22076	7916	-0.23572233352106983	-0.2139411863734875	0.021781147147582336
Near-Perfect	0.99	0.99	C	1	1.4	20441	7330	-0.23572233352106983	-0.21539115658263902	0.02033117693843081
Near-Perfect	0.99	0.99	C	1	1.5	19052	6832	-0.23572233352106983	-0.21665116681762228	0.01907116670344755
Near-Perfect	0.99	0.99	C	1	1.6	17857	6403	-0.23572233352106983	-0.2177552110900126	0.01796712243105722
Near-Perfect	0.99	0.99	C	1	1.7000000000000002	16820	6031	-0.23572233352106983	-0.21872959583003987	0.016992737691029963
Near-Perfect	0.99	0.99	C	1	1.8	15911	5705	-0.23572233352106983	-0.21959499542428348	0.016127338096786348
Near-Perfect	0.99	0.99	C	1	1.9	15109	5418	-0.23572233352106983	-0.22036788161134555	0.015354451909724287
Near-Perfect	0.99	0.99	C	1	2	14396	5162	-0.23572233352106983	-0.22106153850296373	0.014660795018106104
Near-Perfect	0.99	0.99	C	1.1	1	25637	9192	-0.23572233352106983	-0.21301780297876294	0.022704530542306894
Near-Perfect	0.99	0.99	C	1.1	1.1	23192	8316	-0.23572233352106983	-0.21496758721781487	0.020754746303254967
Near-Perfect	0.99	0.99	C	1.1	1.2	21203	7603	-0.23572233352106983	-0.21660342906030483	0.019118904460765
Near-Perfect	0.99	0.99	C	1.1	1.3	19553	7011	-0.23572233352106983	-0.21799404103409634	0.017728292486973496
Near-Perfect	0.99	0.99	C	1.1	1.4	18164	6513	-0.23572233352106983	-0.2191893973301096	0.016532936190960246
Near-Perfect	0.99	0.99	C	1.1	1.5	16979	6088	-0.23572233352106983	-0.22022671166183136	0.015495621859238473
Near-Perfect	0.99	0.99	C	1.1	1.6	15957	5722	-0.23572233352106983	-0.22113426377353207	0.014588069747537763
Near-Perfect	0.99	0.99	C	1.1	1.7000000000000002	15067	5403	-0.23572233352106983	-0.22193392677261745	0.013788406748452386
Near-Perfect	0.99	0.99	C	1.1	1.8	14286	5123	-0.23572233352106983	-0.22264288233770238	0.013079451183367452
Near-Perfect	0.99	0.99	C	1.1	1.9	13596	4875	-0.23572233352106983	-0.22327481278198225	0.012447520739087586
Near-Perfect	0.99	0.99	C	1.1	2	12981	4655	-0.23572233352106983	-0.22384074711659552	0.011881586404474315
Near-Perfect	0.99	0.99	C	1.2	1	22775	8166	-0.23572233352106983	-0.21740065415860094	0.018321679362468896
Near-Perfect	0.99	0.99	C	1.2	1.1	20688	7418	-0.23572233352106983	-0.21900414776440844	0.016718185756661397
Near-Perfect	0.99	0.99	C	1.2	1.2	18981	6806	-0.23572233352106983	-0.2203477615969866	0.01537457192408323
Near-Perfect	0.99	0.99	C	1.2	1.3	17559	6296	-0.23572233352106983	-0.22148841342156061	0.014233920099509217
Near-Perfect	0.99	0.99	C	1.2	1.4	16358	5866	-0.23572233352106983	-0.22246747399445943	0.013254859526610402
Near-Perfect	0.99	0.99	C	1.2	1.5	15330	5497	-0.23572233352106983	-0.22331573338589186	0.01240660013517797
Near-Perfect	0.99	0.99	C	1.2	1.6	14442	5179	-0.23572233352106983	-0.22405657771487117	0.011665755806198663
Near-Perfect	0.99	0.99	C	1.2	1.7000000000000002	13668	4901	-0.23572233352106983	-0.22470808601517844	0.011014247505891389
